"Name","Description","Location"
"VIC","The VIC model is a large-scale, semi-distributed hydrologic model. As such, it shares several basic features with the other land surface models (LSMs) that are commonly coupled to global circulation models (GCMs):

The land surface is modelled as a grid of large (&gt;1km), flat, uniform cells
Sub...","http://www.hydro.washington.edu/Lettenmaier/Models/VIC/Development/BetaTesting.shtml"
"Chi analysis tools","This tool is used for examining bedrock channels. The tool is based on the assumption that the stream power incision model (SPIM) adequately describes channel incision. Channels profiles are converted to chi-elevation space, where chi is a transformed longitudinal coordinate that takes drainage a...","https://github.com/csdms-contrib/chi_analysis_tools"
"Ice-sheet-Glacier-reconstruction","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:Ice-sheet-Glacier-reconstruction","https://github.com/csdms-contrib/ice-sheet-glacier-reconstruction"
"Landlab","Landlab is a Python software package for creating, assembling, and/or running 2D numerical models. Landlab was created to facilitate modeling in earth-surface dynamics, but it is general enough to support a wide range of applications. Landlab provides three different capabilities:

(1) A DEVELOPE...","https://github.com/landlab/landlab/"
"Hilltop and hillslope morphology extraction","A series of tools for extracting a network of hilltops from a landscape, computing curvature, slope and aspect over variable length scales from high resolution topography and performing hillslope traces from hilltops to valley bottoms to sample hilltop curvature, mean hillslope gradient and hills...","https://github.com/csdms-contrib/hilltop_and_hillslope_morphology_extraction"
"AgDegNormalFault","This program computes 1D bed variation in rivers due to differential sediment transport in which it is possible to allow the bed to undergo a sudden vertical fault of a specified amount, at a specified place and time.  Faulting is realized by moving all notes downstream of the specified point dow...","https://github.com/csdms-contrib/stm"
"LOADEST","LOAD ESTimator (LOADEST) is a FORTRAN program for estimating constituent loads in streams and rivers. Given a time series of streamflow, additional data variables, and constituent concentration, LOADEST assists the user in developing a regression model for the estimation of constituent load (cali...","http://water.usgs.gov/software/loadest/"
"Diffusion","Diffusion of marine sediments","https://github.com/mcflugen/sedflux"
"TURB","Calculates the gaussian or log-gaussian distribution of instantaneous shear stresses on the bed, given a mean and coefficient of variation.","https://github.com/csdms-contrib/midas"
"WDUNE","This model is a GUI implementation of a simple cellular automata dune model. The model was originally proposed by Werner (1995, Geology 23) and has seen several extensions. It can simulate basic barchan, transverse, star, and linear dunes. The model is designed to be easy to operate for researche...","http://people.uleth.ca/~chris.hugenholtz/web/wdune.html"
"AgDegNormalGravMixHyd","A module that calculates the evolution of a gravel bed river under an imposed cycled hydrograph.","https://github.com/csdms-contrib/stm"
"Mrip","Mrip consists of a matrix representing the sea floor (25x25 m at this time). Blocks in the matrix are picked up (or deposited) according to transport rules or equations (users choice) and moved with the flow. The user-determined flow is altered, depending on the height and slope of the bed, thus ...","https://github.com/csdms-contrib/mrip"
"FVshock","The numerical model solves the two-dimensional shallow water equations with different modes of sediment transport (bed-load and suspended load) (Canestrelli et al. 2009, Canestrelli et al, 2010). The scheme solves the system of partial differential equations cast in a non-conservative form, but i...","https://github.com/csdms-contrib/fvshock"
"RecircFeed","This program provides two modules for studying the approach to mobile-bed normal equilibrium in recirculating and sediment-feed flumes containing uniform sediment.
The module "Recirc" implements a calculation for the case of a flume that recirculates water and sediment. The module "Feed" implemen...","https://github.com/csdms-contrib/stm"
"TOPOG","TOPOG describes how water moves through landscapes; over the land surface, into the soil, through the soil and groundwater and back to the atmosphere via evaporation. Conservative solute movement and sediment transport are also simulated.

The primary strength of TOPOG is that it is based on a so...","http://www.per.clw.csiro.au/topog/code/code.html"
"AgDegNormGravMixPW","This program computes the time evolution of the long profile of a river of constant width carrying a mixture of gravel sizes, the downstream end of which has a prescribed elevation. In particular, the program computes the time evolution of the spatial profiles of bed elevation, total gravel bedlo...","https://github.com/csdms-contrib/stm"
"ENTRAIN","Calculates the critical shear stress for entrainment of the median size of each size-density fraction of a bed using Yalin and Karahan formulation, assuming no hiding","https://github.com/csdms-contrib/midas"
"SEA","A primitive equation ocean general circulation model based on the Bryan--Semtner--Cox formulation and designed to give good performance on clusters of workstations and massively parallel machines using the PVM message passing library.","http://www.uea.ac.uk/menu/acad_depts/mth/ocean/SEA/welcome.html"
"1D Hillslope MCMC","The model evolves a 1D hillslope according to a non-linear diffusion rule [e.g. Roering et al. 1999] for varying boundary conditions idealised as a gaussian pulse of baselevel fall through time. A Markov Chain Monte Carlo inversion finds the most likely boundary condition parameters when compared...","https://github.com/csdms-contrib/1d_hillslope_mcmc"
"MITgcm","The MITgcm (MIT General Circulation Model) is a numerical model designed for study of the atmosphere, ocean, and climate. Its non-hydrostatic formulation enables it to simulate fluid phenomena over a wide range of scales; its adjoint capability enables it to be applied to parameter and state esti...","http://mitgcm.org/"
"GullyErosionProfiler1D","This model is designed to simulate longitudinal profiles with headward advancing headcuts.  This model simulates gully erosion on the centennial-scale given information such as average rainfall and infiltration rates.  The modeler also specifies a headcut erosion rate and or a rule for headcut re...","https://github.com/csdms-contrib/gullyerosionprofiler1d"
"HIM","It is a C-grid, isopycnal coordinate, primitive equation model,
simulating the ocean by numerically solving the Boussinesq primitive equations in isopycnal vertical coordinates and general orthogonal horizontal coordinates.","http://nomads.gfdl.noaa.gov/nomads/forms/him_beta_nomads.html"
"QUAL2K","QUAL2K (or Q2K) is a river and stream water quality model that is intended to represent a modernized version of the QUAL2E (or Q2E) model (Brown and Barnwell 1987). Q2K is similar to Q2E in the following respects:
One dimensional. The channel is well-mixed vertically and laterally.
* Steady state...","http://www.epa.gov/athens/wwqtsc/html/qual2k.html"
"DredgeSlotBW","This program calculates the 1D bed evolution of a sand-bed river after installation of a dredge slot. The calculation begins with the assumption of a prevailing mobile-bed normal flow equilibrium before installation of the dredge slot.  The flow depth H, volume bedload transport rate per unit wid...","https://github.com/csdms-contrib/stm"
"Erode","Erode is a raster-based, fluvial landscape evolution model. The newest version  (3.0) is written in Python and contains html help pages when running the program through the CSDMS Modeling Tool CMT (http://csdms.colorado.edu/wiki/Help:Ccaffeine_GUI).","https://github.com/csdms-contrib/erode"
"Non Local Means Filtering","Smoothes noise in a DEM by finding the mean value of neighbouring  cells and assigning it to the central cell. This approach deals well with non-gaussian distributed noise.","https://github.com/csdms-contrib/non_local_means_filtering"
"PIHMgis","Physically-based fully-distributed hydrologic models try to simulate hydrologic state variables in space and time while using information regarding heterogeneity in climate, land use, topography and hydrogeology. However incorporating a large number of physical data layers in the hydrologic model...","http://sourceforge.net/projects/pihmgis/"
"LITHFLEX1","Lithospheric flexure solution for infinite plate. Load is assumed to be convolved with Greens function (unit load) response in order to calculate the net effect of the load. If desired, inclusion of sediments as part of the restoring force effect can be controlled via density assigned to density ...","https://github.com/csdms-contrib/lithflex"
"ROMS","ROMS is a Free-surface, terrain-following, orthogonal curvilinear, primitive equations ocean model. Its dynamical kernel is comprised of four separate models including the nonlinear, tangent linear, representer tangent linear, and adjoint models. It has multiple model coupling (ESMF, MCT) and mul...","https://www.myroms.org/index.php?page=login"
"STORM","Storm computes windfield for a cyclone","https://github.com/csdms-contrib/storm"
"Sakura","3-equation hyperpycnal flow model.","https://github.com/mcflugen/sedflux"
"FallVelocity","Fall velocity for spheres. Uses formulation of Dietrich (1982)","https://github.com/csdms-contrib/stm"
"TopoToolbox","TopoToolbox provides a set of Matlab functions that support the analysis of relief and flow pathways in digital elevation models. The major aim of TopoToolbox is to offer stable and efficient analytical GIS utilities in a non-GIS environment in order to support the simultaneous application of GIS...","https://github.com/csdms-contrib/topotoolbox"
"PRMS","PRMS is a modular-design modeling system that has been developed to evaluate the impacts of various combinations of precipitation, climate, and land use on surface-water runoff, sediment yields, and general basin hydrology","http://wwwbrr.cr.usgs.gov/projects/SW_MoWS/software/oui_and_mms_s/prms.shtml"
"TopoFlow","TopoFlow is a powerful, spatially-distributed hydrologic model with a user-friendly point-and-click interface. Its main purpose is to model many different physical processes in a watershed with the goal of accurately predicting how various hydrologic variables will evolve in time in response to c...","https://github.com/peckhams/topoflow"
"Acronym1","This program computes gravel bedload and size distribution from specified values for the bed surface size distribution, the sediment specific gravity, and the effective bed shear velocity (based on skin friction only).","https://github.com/csdms-contrib/stm"
"IDA","IDA formulates the task of determing the drainage area, given flow directions, as a system of implicit equations. This allows the use of iterative solvers, which have the advantages of being parallelizable on distributed memory systems and widely available through libraries such as PETSc.

Using ...","https://github.com/csdms-contrib/ida"
"RHESSys","RHESSys is a GIS-based, hydro-ecological modelling framework designed to simulate carbon, water, and nutrient fluxes. By combining a set of physically-based process models and a methodology for partitioning and parameterizing the landscape, RHESSys is capable of modelling the spatial distribution...","http://fiesta.bren.ucsb.edu/~rhessys/setup/downloads/downloads.html"
"WAVEWATCH III ^TM","Third generation random phase spectral wave model, including shallow water physcis.","http://polar.ncep.noaa.gov/waves/index2.shtml"
"ACADIA","It tracks any number of different depth-averaged transport variables and is usually used in conjunction with QUODDY simulations.","http://www-nml.dartmouth.edu/Software/acadia5.0/"
"LITHFLEX2","Lithospheric flexure solution for a broken plate. Load is assumed to be represented by equal width loading elements specified distance from broken edge of plate. Inclusion of sediments as part of the restoring force effect is possible by choice of density assigned to density (2).","https://github.com/csdms-contrib/lithflex"
"MIDAS","This model is a nonuniform, quasi-unsteady, movable bed, single channel flow model for heterogeneous size-density mixtures","https://github.com/csdms-contrib/midas"
"SUSP","Calculates non-equilibrium suspended load transport rates of various size-density fractions in the bed","https://github.com/csdms-contrib/midas"
"Caesar","CAESAR is a cellular landscape evolution model, with an emphasis on fluvial processes, including flow routing, multi grainsize sediment transport. It models morphological change in river catchments.","http://www.coulthard.org.uk/downloads/visualcaesar.htm"
"TAo","This 2D (cross-section) numerical model permits calculating 1D lithospheric flexure with different rheologies, in combination with faulting, loading, and erosion/deposition. The programs are developed in C for Linux platforms, graphic output is produced using GMT scripts, and standard PCs match t...","http://cuba.ictja.csic.es/~danielgc/tao/"
"REF-DIF","REF/DIF is a phase-resolving parabolic refraction-diffraction model for ocean surface wave propagation. It was originally developed by Jim Kirby and Tony Dalrymple starting in 1982, based on Kirby's dissertation work. This work led to the development of REF/DIF 1, a monochromatic wave model.","http://chinacat.coastal.udel.edu/programs/refdif/refdif.html"
"Acronym1R","Acronym1R computes the volume bedload transport rate per unit width and bedload grain size distribution from a specified surface grain size distribution (with sand removed).","https://github.com/csdms-contrib/stm"
"TopoFlow-Snowmelt-Energy Balance","This process component is part of a spatially-distributed hydrologic model called TopoFlow, but it can now be used as a stand-alone model.","https://github.com/peckhams/topoflow"
"IceFlow","IceFlow simulates ice dynamics by solving equations for internal deformation and simplified basal sliding in glacial systems. It is designed for computational efficiency by using the shallow ice approximation for driving stress, which it solves alongside basal sliding using a semi-implicit direct...","https://github.com/awickert/IceFlow/archive/master.zip"
"OTIS","One-Dimensional Transport with Inflow and Storage (OTIS): A Solute Transport Model for Streams and Rivers

OTIS is a mathematical simulation model used to characterize the fate and transport of water-borne solutes in streams and rivers. The governing equation underlying the model is the advection...","http://water.usgs.gov/software/OTIS/"
"Glimmer-CISM","Glimmer is an open source (GPL) three-dimensional thermomechanical ice sheet model, designed to be interfaced to a range of global climate models. It can also be run in stand-alone mode. Glimmer was developed as part of the NERC GENIE project (www.genie.ac.uk). It's development follows the theore...","http://sourceforge.net/projects/glimmer-cism.berlios/"
"WSGFAM","Simulates wave and current supported sediment gravity flows along the seabed offshore of high discharge, fine sediment riverine sources. See Friedrichs & Scully, 2007. Continental Shelf Research, 27: 322-337, for example.","https://github.com/csdms-contrib/wsgfam"
"Area-Slope Equation Calculator","Traditionally the Area-Slope equation (S=cA^alpha) is extracted from a catchment area vs. slope plot. This model calculate the Area-Slope constant and coefficient (alpha) for each pixel at the catchment as a function of its downslope neighbor.","https://github.com/csdms-contrib/area-slope_equation_calculator"
"Inflow","Steady-state hyperpycnal flow model.","https://github.com/mcflugen/sedflux"
"WILSIM","This is a Java Applet that allows the user to change different parameters (such as rainfall, erodibility, tectonic uplift) and watch how the landform evolve over time under different scenarios. It is based on a Cellular Automata algorithm. Two versions are available: linear and non-linear. Detail...","https://github.com/csdms-contrib/wilsim"
"FillinPitsFlatsDEM","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:FillinPitsFlatsDEM","https://github.com/csdms-contrib/fillinpitsflatsdem"
"GEOtop","GEOtop accommodates very complex topography and, besides the water balance integrates all the terms in the surface energy balance equation. For saturated and unsaturated subsurface flow, it uses the 3D Richards’ equation. An accurate treatment of radiation inputs is implemented in order to be abl...","http://www.geotop.org/cgi-bin/CHECK_moin.cgi/Download_GEOtop"
"DHSVM","DHSVM is a distributed hydrology model that was developed at the University of Washington more than ten years ago. It has been applied both operationally, for streamflow prediction, and in a research capacity, to examine the effects of forest management on peak streamflow, among other things.","http://www.hydro.washington.edu/Lettenmaier/Models/DHSVM/code.shtml"
"WPHydResAMBL","Depth-Discharge and Bedload Calculator, uses:
# Wright-Parker formulation for flow resistance (without stratification correction)
# Ashida-Michiue formulation for bedload transport.","https://github.com/csdms-contrib/stm"
"LTRANS","The Larval TRANSport Lagrangian model (LTRANS) is an off-line particle-tracking model that runs with the stored predictions of a 3D hydrodynamic model, specifically the Regional Ocean Modeling System (ROMS). Although LTRANS was built to simulate oyster larvae, it can easily be adapted to simulate...","http://northweb.hpl.umces.edu/LTRANS.htm"
"FUNWAVE","FUNWAVE is a phase-resolving, time-stepping Boussinesq model for ocean surface wave propagation in the nearshore.","http://chinacat.coastal.udel.edu/programs/funwave/funwave.html"
"SNAC","SNAC can solve momentum and heat energy balance equations in 3D solid with complicated rheology. Lagrangian description of motion adopted in SNAC makes it easy to monitor surface deformation during a crustal or continental scale tectonic event as well as introduce surface processes into a model.","http://www.geodynamics.org/cig/software/snac/"
"Point-Tidal-flat","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:Point-Tidal-flat","https://github.com/csdms-contrib/point-tidal-flat"
"TopoFlow-Evaporation-Energy Balance","This process component is part of a spatially-distributed hydrologic model called TopoFlow, but it can now be used as a stand-alone model.","https://github.com/peckhams/topoflow"
"WACCM Dust-Sulfur","Whole atmosphere module of sulfate aerosols with emphasis on stratospheric aerosols and dust.","http://www.cesm.ucar.edu/working_groups/WACCM/"
"DELTA","Simulates circulation and sedimentation in a 2D turbulent plane jet and resulting delta growth","https://github.com/csdms-contrib/delta"
"Detrital Thermochron","Code for estimating long-term exhumation histories and spatial patterns of short-term erosion from the detrital thermochronometric data.","http://code.google.com/p/thermochron/"
"TopoFlow-Diversions","This process component is part of a spatially-distributed hydrologic model called TopoFlow, but it can now be used as a stand-alone model. TopoFlow supports three different types of flow diversions: sources, sinks and canals. Sources are locations such as natural springs where water enters the wa...","https://github.com/peckhams/topoflow"
"STWAVE","STWAVE (STeady State spectral WAVE) is an easy-to-apply, flexible, robust, half-plane model for nearshore wind-wave growth and propagation. STWAVE simulates depth-induced wave refraction and shoaling, current-induced refraction and shoaling, depth- and steepness-induced wave breaking, diffraction...","http://chl.erdc.usace.army.mil/chl.aspx?p=s&a=SOFTWARE;9"
"UMCESroms","ROMS is a Free-surface, terrain-following, orthogonal curvilinear, primitive equations ocean model. Its dynamical kernel is comprised of four separate models including the nonlinear, tangent linear, representer tangent linear, and adjoint models. It has multiple model coupling (ESMF, MCT) and mul...","https://www.myroms.org/index.php?page=login"
"CICE","CSIM is the sea ice component of CCSM that includes an elastic-viscous-plastic (EVP) dynamics scheme, an ice thickness distribution, energy-conserving thermodynamics, a slab ocean mixed layer model, and the ability to run using prescribed ice concentrations. It is supported on high and low-resolu...","http://oceans11.lanl.gov/trac/CICE/wiki/SourceCode"
"TopoFlow-Channels-Dynamic Wave","This process component is part of a spatially-distributed hydrologic model called TopoFlow, but it can now be used as a stand-alone model. The dynamic wave method is the most complete and complex method for modeling flow in open channels. This method retains all of the terms in the full, 1D momen...","https://github.com/peckhams/topoflow"
"Hyper","This model can be used for both transport after sediment failure and for hyperpycnal transport.","https://github.com/csdms-contrib/hyper"
"BackwaterWrightParker","This program calculates backwater curves over a sand-bed stream with a specified spatially constant bed slope S.  The calculation uses the hydraulic resistance formulation of Wright and Parker (2004) (but without the flow stratification correction).","https://github.com/csdms-contrib/stm"
"WRF","The Weather Research and Forecasting (WRF) Model is a next-generation mesoscale numerical weather prediction system designed to serve both operational forecasting and atmospheric research needs. It features multiple dynamical cores, a 3-dimensional variational (3DVAR) data assimilation system, an...","http://www.mmm.ucar.edu/wrf/users/download/get_source.html"
"Coastal Dune Model","Model describing the morphodynamic evolution of vegetated coastal foredunes.","https://github.com/csdms-contrib/Coastal-Dune-Model"
"Spirals1D","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:Spirals1D","https://github.com/csdms-contrib/spirals1d"
"Flex1D","Initial metadata was retrieved from http://csdms.colorado.edu/wiki/Model:Flex1D","https://github.com/csdms-contrib/flex1d"
"DepDistTotLoadCalc","Depth-Discharge and Total Load Calculator, uses:
# Wright-Parker formulation for flow resistance, 
# Ashida-Michiue formulation for bedload transport,
# Wright-Parker formulation (without stratification) for suspended load.","https://github.com/csdms-contrib/stm"
"CrevasseFlow","The module is designed to calculate morphological changes and water discharge outflow of a crevasse splay that is triggered by a preset flood event and evolves afterwards. The inputs for "mainCS.m" should be daily water discharge and sediment flux series of the trunk channel upstream the crevasse...","https://github.com/csdms-contrib/crevasseflow"
"Zscape","Finite difference approximations are great for modeling the erosion of landscapes. A paper by Densmore, Ellis, and Anderson provides details on application of landscape evolution models to the Basin and Range (USA) using complex rulesets that include landslides, tectonic displacements, and physic...","http://www.cas.usf.edu/~cconnor/parallel/zscape/zscape.html"
